Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $132.32/Eth,TxnFee(ETH),TxnFee(USD),Historical $Price/Eth,Status,ErrCode,Function,lable1,lable2,Token_Number,token1,token2,token3,token4,token5,token6,token7
0xf618d295302cf87c0e5773116e1df659a057b7161d9ea178e6e04f9110d421aa,7711094,1557196912,5/7/2019 2:41:52 AM,0x502cb8985b2c92a8d4bf309cdaa89de9be442708,0x3d9819210a31b4961b30ef54be2aed79b9c9cd3b,,0.0,0,0.0,0.0015295717499999998,0.20239293395999997,168.59,,,enterMarkets,0xc2998238,20,6.0,cBAT,cSAI,cETH,cREP,cUSDC,cZRX,nan
0xb40865c3094260501a3ca454a1e1d802d2c2b33731e28b99910401ac142b8c2a,7711131,1557197545,5/7/2019 2:52:25 AM,0xa7ff0d561cd15ed525e31bbe0af3fe34ac2059f6,0x3d9819210a31b4961b30ef54be2aed79b9c9cd3b,,0.0,0,0.0,0.0016024085,0.21203069272,168.59,,,enterMarkets,0xc2998238,20,6.0,cBAT,cSAI,cETH,cREP,cUSDC,cZRX,nan
0x77d95dec63a208eb013eaa594cb18b261a8f0427d0cd2dc6999a2b1b299e57e8,7711211,1557198587,5/7/2019 3:09:47 AM,0xc8355d0e2c265b2fe495ebbc0fc9ad992b40dc8f,0x3d9819210a31b4961b30ef54be2aed79b9c9cd3b,,0.0,0,0.0,0.0015295717499999998,0.20239293395999997,168.59,,,enterMarkets,0xc2998238,20,6.0,cBAT,cSAI,cETH,cREP,cUSDC,cZRX,nan
0x1e5d61ebc31ad1a24648985b0c0d1dbdb7b46e94109ca750a96240a5cf7d25ff,7712568,1557217134,5/7/2019 8:18:54 AM,0xbd9ed130a53cfafcf81502e4d35329a6c4d53410,0x3d9819210a31b4961b30ef54be2aed79b9c9cd3b,,0.0,0,0.0,0.0019811596,0.262147038272,168.59,,,enterMarkets,0xc2998238,20,6.0,cBAT,cSAI,cETH,cREP,cUSDC,cZRX,nan
0x378fbfff69105469cce896b4fbe6351596bcc2ed23515cde7133343e12e4fb5b,7715913,1557262302,5/7/2019 8:51:42 PM,0xa7ff0d561cd15ed525e31bbe0af3fe34ac2059f6,0x3d9819210a31b4961b30ef54be2aed79b9c9cd3b,,0.0,0,0.0,0.0002592275,0.0343009828,168.59,,,enterMarkets,0xc2998238,20,1.0,cUSDC,nan,nan,nan,nan,nan,nan
0x3abec6c1cc7c0daaad19214032b538687dc13bfbc58c008076615bbabee0b491,7715943,1557262747,5/7/2019 8:59:07 PM,0x502cb8985b2c92a8d4bf309cdaa89de9be442708,0x3d9819210a31b4961b30ef54be2aed79b9c9cd3b,,0.0,0,0.0,0.00029626,0.0392011232,168.59,,,enterMarkets,0xc2998238,20,1.0,cUSDC,nan,nan,nan,nan,nan,nan
0x79e3380715d4e9bb9814693670bd31f5a71a79e393d46e57cfb67e07dd9c8ed8,7715958,1557262893,5/7/2019 9:01:33 PM,0xe0ad79cdd7d049c9c12afcbffa33c58e118c48b0,0x3d9819210a31b4961b30ef54be2aed79b9c9cd3b,,0.0,0,0.0,0.0011878335,0.15717412872,168.59,,,enterMarkets,0xc2998238,20,6.0,cBAT,cSAI,cETH,cREP,cUSDC,cZRX,nan
0xed434c47bdf089ee490bd5a53ceb283c5a8f702cfae50aafdd1987f6e5966bee,7716052,1557264233,5/7/2019 9:23:53 PM,0x4654f56a64301b9b582f843f97332d96ead11ff8,0x3d9819210a31b4961b30ef54be2aed79b9c9cd3b,,0.0,0,0.0,0.0011878335,0.15717412872,168.59,,,enterMarkets,0xc2998238,20,6.0,cBAT,cSAI,cETH,cREP,cUSDC,cZRX,nan
0x23761085c0fe79a442746b945a2ccb95a038fffc4542b08666c77bce3ea8241e,7716052,1557264233,5/7/2019 9:23:53 PM,0xb7625573f98f436554fde189bba8f1cdb57a6b97,0x3d9819210a31b4961b30ef54be2aed79b9c9cd3b,,0.0,0,0.0,0.0011878335,0.15717412872,168.59,,,enterMarkets,0xc2998238,20,6.0,cBAT,cSAI,cETH,cREP,cUSDC,cZRX,nan
0xbd0d610a008c740f130ad7733eb36c121194f9242eb3dfbb6e2df0ae04cf78fb,7716156,1557265599,5/7/2019 9:46:39 PM,0x6316ff9d2c96b6b122e0dd632ab5831e0bf5bd10,0x3d9819210a31b4961b30ef54be2aed79b9c9cd3b,,0.0,0,0.0,0.0016290288,0.215553090816,168.59,,,enterMarkets,0xc2998238,20,6.0,cBAT,cSAI,cETH,cREP,cUSDC,cZRX,nan
