0x7466c9dabee14b97e3600a13ade4b43b6c4b04fd660fd28453da23a522c7d7f3,_setPendingImplementation,0xe992a041, 00000000000000000000000062f18c451af964197341d3c86d27e98c41bb8fcc
0xa4353df56e1285d2921be0ac60440098212dbdc233eba8adbd58fd155e745d25,_setLiquidationIncentive,0x4fd42e17, 0000000000000000000000000000000000000000000000000e92596fd6290000
0x3fa137fd056f38054ac9af4cc95d09518a65eaaf239f02bdce2abc1e4517f611,_supportMarket,0xa76b3fda, 000000000000000000000000b3319f5d18bc0d84dd1b4825dcde5d5f7266d407
0x6fa5b48d07be8af8b5d2753f00edbe0c54cd36b93533a2280772d43dfb674283,_supportMarket,0xa76b3fda, 0000000000000000000000006c8c6b02e7b2be14d4fa6022dfd6d75921d90e4e
0xc225c4097a241f190d462a11924447c5b8b30096992c77e5336fcb480145b218,_supportMarket,0xa76b3fda, 000000000000000000000000f5dce57282a584d2746faf1593d3121fcac444dc
0x947cc625638ab3a2a4e120d98349c36cc4dd4cc4673dbb1de4b6a8ede6a77949,_supportMarket,0xa76b3fda, 000000000000000000000000158079ee67fce2f58472a96584a73c7ab9ac95c1
0xfd7283d4200935bebf3eca130bd20a5d5d0c21fe337cea68a1d63035a057f23b,_supportMarket,0xa76b3fda, 0000000000000000000000004ddc2d193948926d02f9b1fe9e1daa0718270ed5
0x281d085fe88a09c0bc2fcbdc92da5a0d9c99f45d4be6a7e136ce334b3a93f1bb,_setPriceOracle,0x55ee1fe1, 00000000000000000000000028f829f473638ba82710c8404a778f9a66029aad
0x71738853d0931d6719d7878a6dae263d75ad2da15746bbb6e9cdd137160935a0,_setCollateralFactor,0xe4028eee, 000000000000000000000000b3319f5d18bc0d84dd1b4825dcde5d5f7266d407, 0000000000000000000000000000000000000000000000000853a0d2313c0000
0x75c98895a662e865c1d3e00b29cfa0e821aa9ed3bd89298bb970f3651f885320,_setCollateralFactor,0xe4028eee, 0000000000000000000000006c8c6b02e7b2be14d4fa6022dfd6d75921d90e4e, 0000000000000000000000000000000000000000000000000853a0d2313c0000
0xc96fc7e562f53d1e87f1097038998142d360a3c8e4c28381798332cd5629c011,_setCollateralFactor,0xe4028eee, 000000000000000000000000f5dce57282a584d2746faf1593d3121fcac444dc, 0000000000000000000000000000000000000000000000000a688906bd8b0000
0xa24e037a406be41aa470f8d1ab86b143e12ff3c0d0a53aeee9a03fca2e5596f0,_setCollateralFactor,0xe4028eee, 000000000000000000000000158079ee67fce2f58472a96584a73c7ab9ac95c1, 0000000000000000000000000000000000000000000000000853a0d2313c0000
0x5399681926eb83f323555029230181c1d421ef3803910a21b84d849f8e0d120a,_setCollateralFactor,0xe4028eee, 0000000000000000000000004ddc2d193948926d02f9b1fe9e1daa0718270ed5, 0000000000000000000000000000000000000000000000000a688906bd8b0000
0x2717bf7313da3f0148009d0d8bbe9e983012e2bfab7e141bbbed0b32b174b84b,_setPendingAdmin,0xb71d1a0c, 0000000000000000000000008b8592e9570e96166336603a1b4bd1e8db20fa20
0xf618d295302cf87c0e5773116e1df659a057b7161d9ea178e6e04f9110d421aa,enterMarkets,0xc2998238, 0000000000000000000000000000000000000000000000000000000000000020, 0000000000000000000000000000000000000000000000000000000000000006, 0000000000000000000000006c8c6b02e7b2be14d4fa6022dfd6d75921d90e4e, 000000000000000000000000f5dce57282a584d2746faf1593d3121fcac444dc, 0000000000000000000000004ddc2d193948926d02f9b1fe9e1daa0718270ed5, 000000000000000000000000158079ee67fce2f58472a96584a73c7ab9ac95c1, 00000000000000000000000039aa39c021dfbae8fac545936693ac917d5e7563, 000000000000000000000000b3319f5d18bc0d84dd1b4825dcde5d5f7266d407
0xb40865c3094260501a3ca454a1e1d802d2c2b33731e28b99910401ac142b8c2a,enterMarkets,0xc2998238, 0000000000000000000000000000000000000000000000000000000000000020, 0000000000000000000000000000000000000000000000000000000000000006, 0000000000000000000000006c8c6b02e7b2be14d4fa6022dfd6d75921d90e4e, 000000000000000000000000f5dce57282a584d2746faf1593d3121fcac444dc, 0000000000000000000000004ddc2d193948926d02f9b1fe9e1daa0718270ed5, 000000000000000000000000158079ee67fce2f58472a96584a73c7ab9ac95c1, 00000000000000000000000039aa39c021dfbae8fac545936693ac917d5e7563, 000000000000000000000000b3319f5d18bc0d84dd1b4825dcde5d5f7266d407
0x77d95dec63a208eb013eaa594cb18b261a8f0427d0cd2dc6999a2b1b299e57e8,enterMarkets,0xc2998238, 0000000000000000000000000000000000000000000000000000000000000020, 0000000000000000000000000000000000000000000000000000000000000006, 0000000000000000000000006c8c6b02e7b2be14d4fa6022dfd6d75921d90e4e, 000000000000000000000000f5dce57282a584d2746faf1593d3121fcac444dc, 0000000000000000000000004ddc2d193948926d02f9b1fe9e1daa0718270ed5, 000000000000000000000000158079ee67fce2f58472a96584a73c7ab9ac95c1, 00000000000000000000000039aa39c021dfbae8fac545936693ac917d5e7563, 000000000000000000000000b3319f5d18bc0d84dd1b4825dcde5d5f7266d407
0x1e5d61ebc31ad1a24648985b0c0d1dbdb7b46e94109ca750a96240a5cf7d25ff,enterMarkets,0xc2998238, 0000000000000000000000000000000000000000000000000000000000000020, 0000000000000000000000000000000000000000000000000000000000000006, 0000000000000000000000006c8c6b02e7b2be14d4fa6022dfd6d75921d90e4e, 000000000000000000000000f5dce57282a584d2746faf1593d3121fcac444dc, 0000000000000000000000004ddc2d193948926d02f9b1fe9e1daa0718270ed5, 000000000000000000000000158079ee67fce2f58472a96584a73c7ab9ac95c1, 00000000000000000000000039aa39c021dfbae8fac545936693ac917d5e7563, 000000000000000000000000b3319f5d18bc0d84dd1b4825dcde5d5f7266d407
0x28fe5042a79ae55fb467180584f3fa204b6cff5dbd2d82a5935a5815d58546f0,_setPriceOracle,0x55ee1fe1, 000000000000000000000000e7664229833ae4abf4e269b8f23a86b657e2338d
0x2062b8032a897a65e92ebbe5d21737fca8e8382508b4fe663fa4ab148ce717de,_supportMarket,0xa76b3fda, 00000000000000000000000039aa39c021dfbae8fac545936693ac917d5e7563
0xa8ccac92fb962f9c8012f88cfbd33433ad93ce5432507072a1ef57d1ae83d200,_supportMarket,0xa76b3fda, 00000000000000000000000039aa39c021dfbae8fac545936693ac917d5e7563
0x249a7692d2defa1b5c16bfe90f4e21251fbadbcec202cf80dbad6ab5ce66930d,_setPriceOracle,0x55ee1fe1, 000000000000000000000000e7664229833ae4abf4e269b8f23a86b657e2338d
0xd7c1b003df5dc4e0d488d8ab2e21304595e8b590ba44de56386c8d0e100f2640,_setPriceOracle,0x55ee1fe1, 000000000000000000000000e7664229833ae4abf4e269b8f23a86b657e2338d
0x378fbfff69105469cce896b4fbe6351596bcc2ed23515cde7133343e12e4fb5b,enterMarkets,0xc2998238, 0000000000000000000000000000000000000000000000000000000000000020, 0000000000000000000000000000000000000000000000000000000000000001, 00000000000000000000000039aa39c021dfbae8fac545936693ac917d5e7563
0x3abec6c1cc7c0daaad19214032b538687dc13bfbc58c008076615bbabee0b491,enterMarkets,0xc2998238, 0000000000000000000000000000000000000000000000000000000000000020, 0000000000000000000000000000000000000000000000000000000000000001, 00000000000000000000000039aa39c021dfbae8fac545936693ac917d5e7563
0x79e3380715d4e9bb9814693670bd31f5a71a79e393d46e57cfb67e07dd9c8ed8,enterMarkets,0xc2998238, 0000000000000000000000000000000000000000000000000000000000000020, 0000000000000000000000000000000000000000000000000000000000000006, 0000000000000000000000006c8c6b02e7b2be14d4fa6022dfd6d75921d90e4e, 000000000000000000000000f5dce57282a584d2746faf1593d3121fcac444dc, 0000000000000000000000004ddc2d193948926d02f9b1fe9e1daa0718270ed5, 000000000000000000000000158079ee67fce2f58472a96584a73c7ab9ac95c1, 00000000000000000000000039aa39c021dfbae8fac545936693ac917d5e7563, 000000000000000000000000b3319f5d18bc0d84dd1b4825dcde5d5f7266d407
0xdd5e78dbc9284c5bcf882efc04bf369344ce68351f36b5ea386b792020933ac1,_setCollateralFactor,0xe4028eee, 00000000000000000000000039aa39c021dfbae8fac545936693ac917d5e7563, 0000000000000000000000000000000000000000000000000a688906bd8b0000
0x7610c2a8655cd83a3426b7da60ba1f854672adec3ad2bc33841948e77a313889,_setCollateralFactor,0xe4028eee, 000000000000000000000000158079ee67fce2f58472a96584a73c7ab9ac95c1, 00000000000000000000000000000000000000000000000006f05b59d3b20000
0xd8c7c626c276a3841aeaed4c6ac584f49b0ead005aed327f1937306cbd6ac20a,_setCollateralFactor,0xe4028eee, 00000000000000000000000039aa39c021dfbae8fac545936693ac917d5e7563, 0000000000000000000000000000000000000000000000000a688906bd8b0000
